"Año,""Trimestre"",""Provincia"",""Radiobases 4G"",""Acumulado radiobases 4G"""
"2017,""2"",""Buenos Aires"",""523"",""5.525"""
"2017,""2"",""Capital Federal"",""243"",""1.943"""
"2017,""2"",""Catamarca"",""10"",""101"""
"2017,""2"",""Chaco"",""36"",""311"""
"2017,""2"",""Chubut"",""10"",""129"""
"2017,""2"",""Córdoba"",""146"",""1.348"""
"2017,""2"",""Corrientes"",""46"",""327"""
"2017,""2"",""Entre Ríos"",""29"",""288"""
"2017,""2"",""Formosa"",""39"",""155"""
"2017,""2"",""Jujuy"",""19"",""148"""
"2017,""2"",""La Pampa"",""2"",""56"""
"2017,""2"",""La Rioja"",""2"",""91"""
"2017,""2"",""Mendoza"",""76"",""411"""
"2017,""2"",""Misiones"",""22"",""281"""
"2017,""2"",""Neuquén"",""17"",""105"""
"2017,""2"",""Río Negro"",""28"",""206"""
"2017,""2"",""Salta"",""16"",""262"""
"2017,""2"",""San Juan"",""10"",""134"""
"2017,""2"",""San Luis"",""8"",""87"""
"2017,""2"",""Santa Cruz"",""5"",""67"""
"2017,""2"",""Santa Fe"",""73"",""889"""
"2017,""2"",""Santiago del Estero"",""28"",""207"""
"2017,""2"",""Tierra del Fuego"",""3"",""59"""
"2017,""2"",""Tucumán"",""52"",""490"""
